,MonitorValue,SensorID,Time,raw,diff
414647,0.05,044A02,2017-09-17 10:00:07,0.05,0.0
414648,0.05,044A02,2017-09-17 10:00:18,0.1,0.05
414655,0.05,044A02,2017-09-17 10:00:29,0.05,0.0
414656,0.05,044A02,2017-09-17 10:00:39,0.06,0.009999999999999995
414663,0.05,044A02,2017-09-17 10:00:50,0.05,0.0
414664,0.05,044A02,2017-09-17 10:01:00,0.07,0.020000000000000004
414671,0.05,044A02,2017-09-17 10:01:11,0.05,0.0
414672,0.05,044A02,2017-09-17 10:01:21,0.1,0.05
414679,0.05,044A02,2017-09-17 10:01:32,0.05,0.0
414680,0.05,044A02,2017-09-17 10:01:42,0.05,0.0
414687,0.05,044A02,2017-09-17 10:01:53,0.05,0.0
414688,0.05,044A02,2017-09-17 10:02:03,0.07,0.020000000000000004
414695,0.05,044A02,2017-09-17 10:02:14,0.05,0.0
414696,0.05,044A02,2017-09-17 10:02:24,2.6,2.5500000000000003
414703,0.05,044A02,2017-09-17 10:02:35,0.05,0.0
414704,0.05,044A02,2017-09-17 10:02:45,0.05,0.0
414711,0.05,044A02,2017-09-17 10:02:56,0.05,0.0
414712,0.05,044A02,2017-09-17 10:03:06,0.07,0.020000000000000004
414719,0.05,044A02,2017-09-17 10:03:17,0.05,0.0
414720,0.05,044A02,2017-09-17 10:03:27,35.09,35.040000000000006
414727,0.05,044A02,2017-09-17 10:03:38,0.05,0.0
414728,0.05,044A02,2017-09-17 10:03:49,0.05,0.0
414735,0.05,044A02,2017-09-17 10:03:59,0.05,0.0
414736,0.05,044A02,2017-09-17 10:04:10,0.07,0.020000000000000004
414743,0.05,044A02,2017-09-17 10:04:21,0.05,0.0
414744,0.05,044A02,2017-09-17 10:04:32,78.83,78.78
414751,0.05,044A02,2017-09-17 10:04:42,0.05,0.0
414752,0.05,044A02,2017-09-17 10:04:53,0.05,0.0
414759,0.05,044A02,2017-09-17 10:05:04,0.05,0.0
414760,0.05,044A02,2017-09-17 10:05:16,0.07,0.020000000000000004
414767,0.05,044A02,2017-09-17 10:05:26,0.05,0.0
414768,0.05,044A02,2017-09-17 10:05:37,34.47,34.42
414775,0.05,044A02,2017-09-17 10:05:47,0.05,0.0
414776,0.05,044A02,2017-09-17 10:05:58,0.06,0.009999999999999995
414783,0.05,044A02,2017-09-17 10:06:10,0.05,0.0
414784,0.05,044A02,2017-09-17 10:06:21,0.07,0.020000000000000004
414791,0.05,044A02,2017-09-17 10:06:32,0.05,0.0
414792,0.05,044A02,2017-09-17 10:06:43,2.6,2.5500000000000003
414799,0.05,044A02,2017-09-17 10:06:53,0.05,0.0
414800,0.05,044A02,2017-09-17 10:07:03,0.06,0.009999999999999995
414807,0.05,044A02,2017-09-17 10:07:14,0.05,0.0
414808,0.05,044A02,2017-09-17 10:07:25,0.07,0.020000000000000004
414815,0.05,044A02,2017-09-17 10:07:35,0.05,0.0
414816,0.05,044A02,2017-09-17 10:07:46,30.09,30.04
414823,0.05,044A02,2017-09-17 10:07:56,0.05,0.0
414824,0.05,044A02,2017-09-17 10:08:06,0.06,0.009999999999999995
414831,0.05,044A02,2017-09-17 10:08:17,0.05,0.0
414832,0.05,044A02,2017-09-17 10:08:28,0.07,0.020000000000000004
414839,0.05,044A02,2017-09-17 10:08:38,0.05,0.0
414840,0.05,044A02,2017-09-17 10:08:49,100.7,100.65
414847,0.05,044A02,2017-09-17 10:08:59,0.05,0.0
414848,0.05,044A02,2017-09-17 10:09:10,0.05,0.0
414855,0.05,044A02,2017-09-17 10:09:20,0.05,0.0
414856,0.05,044A02,2017-09-17 10:09:31,0.07,0.020000000000000004
414863,0.05,044A02,2017-09-17 10:09:41,0.05,0.0
414864,0.05,044A02,2017-09-17 10:09:52,133.82,133.76999999999998
414871,0.05,044A02,2017-09-17 10:10:03,0.05,0.0
414872,0.05,044A02,2017-09-17 10:10:13,0.05,0.0
414879,0.05,044A02,2017-09-17 10:10:24,0.05,0.0
414880,0.05,044A02,2017-09-17 10:10:34,0.07,0.020000000000000004
414887,0.05,044A02,2017-09-17 10:10:45,0.05,0.0
414888,0.05,044A02,2017-09-17 10:10:55,53.84,53.790000000000006
414895,0.05,044A02,2017-09-17 10:11:06,0.05,0.0
414896,0.05,044A02,2017-09-17 10:11:17,0.05,0.0
414903,0.05,044A02,2017-09-17 10:11:27,0.05,0.0
414904,0.05,044A02,2017-09-17 10:11:38,0.07,0.020000000000000004
414911,0.05,044A02,2017-09-17 10:11:48,0.05,0.0
414912,0.05,044A02,2017-09-17 10:11:59,108.2,108.15
414919,0.05,044A02,2017-09-17 10:12:09,0.05,0.0
414920,0.05,044A02,2017-09-17 10:12:20,0.05,0.0
414927,0.05,044A02,2017-09-17 10:12:31,0.05,0.0
414928,0.05,044A02,2017-09-17 10:12:41,0.07,0.020000000000000004
414935,0.05,044A02,2017-09-17 10:12:52,0.05,0.0
414936,0.05,044A02,2017-09-17 10:13:02,135.7,135.64999999999998
414943,0.05,044A02,2017-09-17 10:13:13,0.05,0.0
414944,0.05,044A02,2017-09-17 10:13:23,0.05,0.0
414951,0.05,044A02,2017-09-17 10:13:33,0.05,0.0
414952,0.05,044A02,2017-09-17 10:13:44,0.07,0.020000000000000004
414959,0.05,044A02,2017-09-17 10:13:54,0.05,0.0
414960,0.05,044A02,2017-09-17 10:14:05,116.95,116.9
414967,0.05,044A02,2017-09-17 10:14:15,0.05,0.0
414968,0.05,044A02,2017-09-17 10:14:26,0.05,0.0
414975,0.05,044A02,2017-09-17 10:14:36,0.05,0.0
414976,0.05,044A02,2017-09-17 10:14:47,0.07,0.020000000000000004
414983,0.05,044A02,2017-09-17 10:14:57,0.05,0.0
414984,0.05,044A02,2017-09-17 10:15:08,79.46,79.41
414991,0.05,044A02,2017-09-17 10:15:20,0.05,0.0
414992,0.05,044A02,2017-09-17 10:15:31,0.05,0.0
414999,0.05,044A02,2017-09-17 10:15:41,0.05,0.0
415000,0.05,044A02,2017-09-17 10:15:52,0.07,0.020000000000000004
415007,0.05,044A02,2017-09-17 10:16:03,0.05,0.0
415008,0.05,044A02,2017-09-17 10:16:13,29.47,29.419999999999998
415015,0.05,044A02,2017-09-17 10:16:24,0.05,0.0
415016,0.05,044A02,2017-09-17 10:16:35,0.06,0.009999999999999995
415023,0.05,044A02,2017-09-17 10:16:45,0.05,0.0
415024,0.05,044A02,2017-09-17 10:16:56,0.07,0.020000000000000004
415031,0.05,044A02,2017-09-17 10:17:06,0.05,0.0
415032,0.05,044A02,2017-09-17 10:17:17,23.22,23.169999999999998
415039,0.05,044A02,2017-09-17 10:17:27,0.05,0.0
415040,0.05,044A02,2017-09-17 10:17:38,0.06,0.009999999999999995
415047,0.05,044A02,2017-09-17 10:17:54,0.05,0.0
415048,0.05,044A02,2017-09-17 10:18:12,0.07,0.020000000000000004
415055,0.05,044A02,2017-09-17 10:18:27,0.05,0.0
415056,0.05,044A02,2017-09-17 10:18:38,15.72,15.67
415063,0.05,044A02,2017-09-17 10:18:48,0.05,0.0
415064,0.05,044A02,2017-09-17 10:18:59,0.06,0.009999999999999995
415071,0.05,044A02,2017-09-17 10:19:09,0.05,0.0
415072,0.05,044A02,2017-09-17 10:19:41,0.07,0.020000000000000004
415079,0.05,044A02,2017-09-17 10:19:52,0.05,0.0
415080,0.05,044A02,2017-09-17 10:20:02,6.97,6.92
415087,0.05,044A02,2017-09-17 10:20:13,0.05,0.0
415088,0.05,044A02,2017-09-17 10:20:24,0.06,0.009999999999999995
415095,0.05,044A02,2017-09-17 10:20:35,0.05,0.0
415096,0.05,044A02,2017-09-17 10:20:45,0.07,0.020000000000000004
415103,0.05,044A02,2017-09-17 10:20:56,0.05,0.0
415104,0.05,044A02,2017-09-17 10:21:08,3.22,3.1700000000000004
415111,0.05,044A02,2017-09-17 10:21:18,0.05,0.0
415112,0.05,044A02,2017-09-17 10:21:29,0.06,0.009999999999999995
415119,0.05,044A02,2017-09-17 10:21:39,0.05,0.0
415120,0.05,044A02,2017-09-17 10:21:50,0.07,0.020000000000000004
415127,0.05,044A02,2017-09-17 10:22:00,0.05,0.0
415128,0.05,044A02,2017-09-17 10:22:11,0.1,0.05
415135,0.05,044A02,2017-09-17 10:22:21,0.05,0.0
415136,0.05,044A02,2017-09-17 10:22:32,0.06,0.009999999999999995
415143,0.05,044A02,2017-09-17 10:22:43,0.05,0.0
415144,0.05,044A02,2017-09-17 10:22:53,0.07,0.020000000000000004
415151,0.05,044A02,2017-09-17 10:23:04,0.05,0.0
415152,0.05,044A02,2017-09-17 10:23:15,5.72,5.67
415159,0.05,044A02,2017-09-17 10:23:25,0.05,0.0
415160,0.05,044A02,2017-09-17 10:23:36,0.06,0.009999999999999995
415167,0.05,044A02,2017-09-17 10:23:47,0.05,0.0
415168,0.05,044A02,2017-09-17 10:23:57,0.07,0.020000000000000004
415175,0.05,044A02,2017-09-17 10:24:08,0.05,0.0
415176,0.05,044A02,2017-09-17 10:24:19,14.47,14.42
415183,0.05,044A02,2017-09-17 10:24:30,0.05,0.0
415184,0.05,044A02,2017-09-17 10:24:40,0.06,0.009999999999999995
415191,0.05,044A02,2017-09-17 10:24:50,0.05,0.0
415192,0.05,044A02,2017-09-17 10:25:01,0.07,0.020000000000000004
415199,0.05,044A02,2017-09-17 10:25:12,0.05,0.0
415200,0.05,044A02,2017-09-17 10:25:22,5.1,5.05
415207,0.05,044A02,2017-09-17 10:25:33,0.05,0.0
